Activity_ID,Quality,source,CID,SMILES,,,,,doc_id,Year,all_years,type_IC50,type_EC50,type_KD,type_Ki,pchembl_value,pchembl_value_Mean,pchembl_value_Median
ABFVBWQMBVYWMV_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.35625,COc1cc2c(cc1OC)C(=O)C(Oc1cc(CN3CCCCC3)ccc1)C2,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,6.57,6.57,6.57
ABNOJWGKGYSFSX_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.40904,COc1c(OC)cc2sc(C(=O)C3CCC[N+](C)(CC4CCCCO4)CC3)cc2c1,,,,,PMID:15481986,2004,2004,0,0,0,1,7.55,7.55,7.55
ACQJSWKZZFRCRQ_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.472550,Clc1ccc(CN2CCC(c3cc4c(cccc4)o3)CC2)cc1,,,,,PMID:34116326,2021,2021,1,0,0,0,4.01,4.01,4.01
ADJBQLJNBOSHLI_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.198167,CC1(C)CC(=O)C2=C(C1)Oc1c(c(N)c3CCCCc3n1)C2c1ccccc1C(F)(F)F,,,,,DOI:10.1007/s00044-010-9516-x,2012,2012,1,0,0,0,4.75,4.75,4.75
ADKJHJNFROJLTD_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.398662,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2c(cccc2)o1,,,,,PMID:30025348,2018,2018,0,0,0,1,7.24,7.24,7.24
AEHZLLUTPCJFHO_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.469191,COc1c(OC)cc2C(=O)C(CC3(F)CCN(Cc4ccc(F)cc4)CC3)Cc2c1,,,,,PMID:33570950,2021,2021,0,0,1,0,8.56,8.56,8.56
AFOKZNPZDXHDHD_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200548,CC(C)(O)CCc1c(-c2c(O)cc(O)cc2)oc2c(c(O)cc3c2C=CC(C)(C)O3)c1=O,,,,,DOI:10.1007/s00044-012-0353-y,2013,2013,0,0,0,1,5.51,5.51,5.51
AIIWJMPOAUNFLG_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.456519,COc1cc2c(cc1)cc(C(=O)NCCC1CCN(Cc3ccccc3)CC1)cc2,,,,,PMID:32942070,2020,2020,0,0,0,1,6.68,6.68,6.68
AJHXMWXYVYOBQI_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.471280,Cc1ccc(S(=O)(=O)SCc2ccccc2)cc1,,,,,PMID:33979775,2021,2021,0,0,0,1,6.41,6.41,6.41
AJHYPSJVJVSKDS_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200726,COc1c(OC)cc2C(=O)C(Oc3cccc(CN4CCOCC4)c3)Cc2c1,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,6.1,6.1,6.1
AJSYZGYPCGTQSU_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.67352,COc1ccc2c(c1)c1c(c(C)ncc1)n2C,,,,,PMID:16945529,2006,2006,1,0,0,0,4.93,4.93,4.93
APLNAOFQRVXISP_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.40911,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](CC3CC3)cc1)C2,,,,,PMID:15481986,2004,2004,0,0,0,1,6.96,6.96,6.96
APOYKHBRRMBQBD_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.245669,O=C(NCCCCCCNc1c2CCCCc2nc2c1cccc2)c1cc2c(cccc2)oc1=O,,,,,PMID:25088549,2014,2014,0,0,0,1,7.78,7.78,7.78
ASEDWXNMPGNYLM_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.164857,Clc1cc2c(cc1)c(NCCCCCCCNc1c3Cc4c(cccc4)-c3nc3ccccc13)c1CCCCc1n2,,,,,PMID:21798635,2011,2011,0,0,0,1,9,9,9
AUIUWDZZXQWWOQ_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.40902,COCC[N+]1(C)CCCC(C(=O)c2cc3c(cc(OC)c(OC)c3)s2)CC1,,,,,PMID:15481986,2004,2004,0,0,0,1,7.28,7.28,7.28
AWHGPQJIJPFEKM_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.100553,COc1c(OC)cc2C(=O)C(=Cc3ccc(CN4CCCC4)cc3)Cc2c1,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,6.7,6.7,6.7
AYZSLGVHDIBBNE_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200716,CC(CN1CCN(Cc2ccccc2)CC1)N(C(=O)c1cccc([N+](=O)[O-])c1)c1ccccn1,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,7.21,7.21,7.21
BGDYVTQSRKFIJW_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.245656,COc1ccc2cc(C(=O)NCCCCCNc3c4CCCCc4nc4c3cccc4)c(=O)oc2c1,,,,,PMID:25088549,2014,2014,0,0,0,1,7.35,7.35,7.35
