CV2,Raw_Free_Energy,Smoothed_Free_Energy
4.141263884183879362e+00,9.765879307278114041e+00,9.750749045039611929e+00
4.218905503868911389e+00,9.468882922996259666e+00,9.539877327829591636e+00
4.296547123553942527e+00,9.063634968167491479e+00,9.117715466889990239e+00
4.374188743238974553e+00,8.562178470129076402e+00,8.523877747268272742e+00
4.451830362924006579e+00,7.973827114996539400e+00,7.797978454011905036e+00
4.529471982609038605e+00,7.078463209770309739e+00,6.979631872168349460e+00
4.607113602294069743e+00,6.086804335807533661e+00,6.108452286785071905e+00
4.684755221979101769e+00,5.128913839287791987e+00,5.224053982909562244e+00
4.762396841664133795e+00,4.194421652636499687e+00,4.425429154664518805e+00
4.840038461349164933e+00,3.456280012736226315e+00,3.704539695957639989e+00
4.917680081034196959e+00,2.891080175772970495e+00,3.083425563764898847e+00
4.995321700719228986e+00,2.456965733176589950e+00,2.577907778863578692e+00
5.072963320404261012e+00,2.147396906495418367e+00,2.193924742333896560e+00
5.150604940089292150e+00,1.948085820497750476e+00,1.898606721539445097e+00
5.228246559774324176e+00,1.833374591623343486e+00,1.663914109153390886e+00
5.305888179459355314e+00,1.615199437960432194e+00,1.473285455332455474e+00
5.383529799144387340e+00,1.399658205108551989e+00,1.308405021309606564e+00
5.461171418829419366e+00,1.201235986894085173e+00,1.172098944012876176e+00
5.538813038514451392e+00,1.017513663096532461e+00,1.067090508125899451e+00
5.616454658199482530e+00,8.876553149859929270e-01,9.934647392098669982e-01
5.694096277884514556e+00,8.391318983596641745e-01,9.543270450023528806e-01
5.771737897569546583e+00,8.912802747413426374e-01,9.567222398168118147e-01
5.849379517254577721e+00,1.007004511606185870e+00,1.009220903104221634e+00
5.927021136939609747e+00,1.146773063216428801e+00,1.095179322912031461e+00
6.004662756624641773e+00,1.258220661154275222e+00,1.201529462542684445e+00
6.082304376309673799e+00,1.349532446817561127e+00,1.313298434800098224e+00
6.159945995994705825e+00,1.438741482930495197e+00,1.414810310131355386e+00
6.237587615679736963e+00,1.527160015212789324e+00,1.499840861373136658e+00
6.315229235364768101e+00,1.598924846740197747e+00,1.569541680905849557e+00
6.392870855049800127e+00,1.637342607739852074e+00,1.624576858250327049e+00
6.470512474734832153e+00,1.660371022113293238e+00,1.669510690411383891e+00
6.548154094419864180e+00,1.680264169136087560e+00,1.710681003554818114e+00
6.625795714104896206e+00,1.721754540693981372e+00,1.749738593763704220e+00
6.703437333789927344e+00,1.796525834873925476e+00,1.788345643663425744e+00
6.781078953474959370e+00,1.860495979778055142e+00,1.830045282757694292e+00
6.858720573159990508e+00,1.879616291968488673e+00,1.879615522849102938e+00
6.936362192845022534e+00,1.925132612375917152e+00,1.947720790783005640e+00
7.014003812530054560e+00,1.992057744917187456e+00,2.022661860879255258e+00
7.091645432215086586e+00,2.065696372524989499e+00,2.092162142303933159e+00
7.169287051900118612e+00,2.147784612499362478e+00,2.158623771259161828e+00
7.246928671585149750e+00,2.238873586459757981e+00,2.238611076521008325e+00
7.324570291270181777e+00,2.337010852632314784e+00,2.322353893231503097e+00
7.402211910955212915e+00,2.430886950169489413e+00,2.393789746284520792e+00
7.479853530640244941e+00,2.400437663184624260e+00,2.440049088864056248e+00
7.557495150325276967e+00,2.407284276995417027e+00,2.455376504079952227e+00
7.635136770010308993e+00,2.502675432548482792e+00,2.438761460640396450e+00
7.712778389695341019e+00,2.563763603898251198e+00,2.392076948458884189e+00
7.790420009380372157e+00,2.397151731486935944e+00,2.323640873121846973e+00
7.868061629065404183e+00,2.227333818784534625e+00,2.244003280486445373e+00
7.945703248750435321e+00,2.117257994861320824e+00,2.166021847392144650e+00
8.023344868435467347e+00,2.024275488235904863e+00,2.101778545844595669e+00
8.100986488120499374e+00,1.975037447963365445e+00,2.048173615484692345e+00
8.178628107805531400e+00,1.972132843436632754e+00,2.021392575205011255e+00
8.256269727490561650e+00,2.019975668482514308e+00,2.041339244677024212e+00
8.333911347175593676e+00,2.089226455176200314e+00,2.111082180809354281e+00
8.411552966860625702e+00,2.179699295729314645e+00,2.203356094499183904e+00
8.489194586545657728e+00,2.284012325983315161e+00,2.299968231950970221e+00
8.566836206230689754e+00,2.410264069455577474e+00,2.396111738881814279e+00
8.644477825915721780e+00,2.550865405848180778e+00,2.489300273619840187e+00
8.722119445600753807e+00,2.621959059220063892e+00,2.562366625328294845e+00
8.799761065285785833e+00,2.632185614720739419e+00,2.605713092123372654e+00
8.877402684970817859e+00,2.616605946377506875e+00,2.619711829963887961e+00
8.955044304655849885e+00,2.577625663468437356e+00,2.605750233224513046e+00
9.032685924340880135e+00,2.569264839670837741e+00,2.561682169837274703e+00
9.110327544025912161e+00,2.531024504584212576e+00,2.485396277823140210e+00
9.187969163710944187e+00,2.365877862715779489e+00,2.381226245571800515e+00
9.265610783395974437e+00,2.237743547062288396e+00,2.257870621423768931e+00
9.343252403081006463e+00,2.132230879681502600e+00,2.115643803173330006e+00
9.420894022766038489e+00,1.996216271718772584e+00,1.955538877421728383e+00
9.498535642451070515e+00,1.800804966281352337e+00,1.780959007321389453e+00
9.576177262136102541e+00,1.593093996212801899e+00,1.598224788035884192e+00
9.653818881821134568e+00,1.404918888869562732e+00,1.420202299201451801e+00
9.731460501506166594e+00,1.230451166670299745e+00,1.254038644252383428e+00
9.809102121191198620e+00,1.065797834520683329e+00,1.092711260174265231e+00
9.886743740876230646e+00,9.276148993793370545e-01,9.432223343156382889e-01
9.964385360561262672e+00,8.086847693280719840e-01,8.172248145109708428e-01
1.004202698024629292e+01,7.201827524958464011e-01,7.173034844354437833e-01
1.011966859993132495e+01,6.392904006166849618e-01,6.374808319811429147e-01
1.019731021961635697e+01,5.694322059863674568e-01,5.748303843450504047e-01
1.027495183930138900e+01,5.208917733129543315e-01,5.358643534021581001e-01
1.035259345898641925e+01,4.971723268449342870e-01,5.137347245458493417e-01
1.043023507867145128e+01,5.048319524823311477e-01,5.015623783532202618e-01
1.050787669835648330e+01,4.981084886739488571e-01,4.956065933449303462e-01
1.058551831804151533e+01,4.965200402601260832e-01,4.941075901813222204e-01
1.066315993772654735e+01,5.230622232817175865e-01,4.983768421183698560e-01
1.074080155741157938e+01,5.683755217851199637e-01,5.092081664888478132e-01
1.081844317709661141e+01,5.349753876218173998e-01,5.297613670511875927e-01
1.089608479678164343e+01,5.239544581614242746e-01,5.632489107769079739e-01
1.097372641646667546e+01,5.418610524256332051e-01,6.025277397032735571e-01
1.105136803615170749e+01,5.907526525421687991e-01,6.542835357019505249e-01
1.112900965583673774e+01,6.596699922819722062e-01,6.999925951371647193e-01
1.120665127552176976e+01,7.407092790956609774e-01,7.293863124550747923e-01
1.128429289520680179e+01,8.156221629313300525e-01,7.415091865712530872e-01
1.136193451489183204e+01,8.390589593259492052e-01,7.399044079469542234e-01
1.143957613457686406e+01,7.795979246283227804e-01,7.171630507864122928e-01
1.151721775426189609e+01,7.330025100879559163e-01,6.716836382166587738e-01
1.159485937394692812e+01,5.553994436998730411e-01,6.039004521624184996e-01
1.167250099363196014e+01,4.421123627457580474e-01,5.184572230730233322e-01
1.175014261331699217e+01,3.761539599257033295e-01,4.266708701428599815e-01
1.182778423300202419e+01,3.293937913199382894e-01,3.342883144749899116e-01
1.190542585268705622e+01,2.746476048915464929e-01,2.487203844075583092e-01
1.198306747237208825e+01,1.990491156538883311e-01,1.770226277288835526e-01
1.206070909205712027e+01,1.282969883236971531e-01,1.186892148326735286e-01
1.213835071174215052e+01,8.023236153359591949e-02,7.726175265244442092e-02
1.221599233142718433e+01,5.734489138929232954e-02,4.343857011609377622e-02
1.229363395111221280e+01,6.805239347669828076e-03,2.715966414224363357e-02
1.237127557079724482e+01,0.000000000000000000e+00,3.463694062870683460e-02
1.244891719048227685e+01,4.253247067310474833e-02,6.599534969013820529e-02
1.252655881016730888e+01,9.618131091246656661e-02,1.195142621588696774e-01
1.260420042985234090e+01,1.637503151200669360e-01,1.898592300423177226e-01
1.268184204953737293e+01,2.931339094668443668e-01,2.875750791573902232e-01
1.275948366922240496e+01,4.333120588606041990e-01,4.078371154422326117e-01
1.283712528890743698e+01,5.384985960766488500e-01,5.400767814195388539e-01
1.291476690859246901e+01,6.283739618024869467e-01,6.666718128326515336e-01
1.299240852827750103e+01,7.447984577495900815e-01,7.844973723486997619e-01
1.307005014796253306e+01,8.836615740776566641e-01,8.870425153987380185e-01
1.314769176764756509e+01,1.059996392362152928e+00,9.650175036202046641e-01
1.322533338733259711e+01,1.082936502384975075e+00,1.013592255014202026e+00
1.330297500701762559e+01,1.050366075001615274e+00,1.036360836777600047e+00
1.338061662670265761e+01,1.014993016612360410e+00,1.030774812026096221e+00
1.345825824638768964e+01,9.962327438778375566e-01,9.894711719504877268e-01
1.353589986607272166e+01,9.140435094956770312e-01,9.094504040795228228e-01
1.361354148575775369e+01,8.181137976413307422e-01,8.014965241976029775e-01
1.369118310544278572e+01,7.248168944535525737e-01,6.826548090367109412e-01
1.376882472512781774e+01,6.085336468988552516e-01,5.747718843377912501e-01
1.384646634481284977e+01,4.587220207535527283e-01,4.808079562129622397e-01
1.392410796449788180e+01,3.253156020644782931e-01,4.050243480681594566e-01
1.400174958418291382e+01,2.479380608342740822e-01,3.494582954289456866e-01
1.407939120386794585e+01,2.470109310667983338e-01,3.143131698963279042e-01
1.415703282355297787e+01,2.798072306111717422e-01,2.889514552636270883e-01
1.423467444323800990e+01,3.182387873695388114e-01,2.732561753283602179e-01
1.431231606292304193e+01,3.636444121298793020e-01,2.740558154927696943e-01
1.438995768260807040e+01,3.687120229512276248e-01,2.842397141813618466e-01
1.446759930229310243e+01,3.230225731436734415e-01,2.936459519885631364e-01
1.454524092197813445e+01,2.609741032029403440e-01,2.977564490186509483e-01
1.462288254166316648e+01,2.316256985879313057e-01,2.993575180350022680e-01
1.470052416134819850e+01,2.803252930495344075e-01,3.113219654530828273e-01
1.477816578103323053e+01,3.527739236767665210e-01,3.379916802878882853e-01
1.485580740071826256e+01,3.707310287157822293e-01,3.811943833237927959e-01
1.493344902040329458e+01,4.172874177163663489e-01,4.412489811720798905e-01
1.501109064008832661e+01,4.995108184998033884e-01,5.132382900576321072e-01
1.508873225977335863e+01,6.077017852572652590e-01,5.886519519528240485e-01
