Time_ns,CV1_Raw,CV2_Raw,CV1_Smooth,CV2_Smooth
0.000000000000000000e+00,1.242082988499999985e+01,6.934449298419999685e+00,1.233285210379801100e+01,7.001647103023197261e+00
1.499999999999999944e-01,1.204026085369999954e+01,7.257454593230000306e+00,1.226026125054214155e+01,7.021991133397543550e+00
2.999999999999999889e-01,1.272477092879999994e+01,7.220513485099999684e+00,1.220100076094125008e+01,7.047935480239661210e+00
4.500000000000000111e-01,1.132308913520000004e+01,6.854360747550000355e+00,1.215285759263544385e+01,7.081128599032379789e+00
5.999999999999999778e-01,1.307732402769999958e+01,6.135129929739999710e+00,1.211361870326483370e+01,7.123218945258529722e+00
7.500000000000000000e-01,1.146179490109999932e+01,8.023335575500000871e+00,1.208107105046952867e+01,7.175854974400938779e+00
9.000000000000000222e-01,1.162745282420000059e+01,6.460184311839999971e+00,1.205300159188963960e+01,7.240685141942437397e+00
1.050000000000000044e+00,1.209102460070000085e+01,8.305103899009999679e+00,1.202719728516527375e+01,7.319357903365855123e+00
1.199999999999999956e+00,1.246873320889999981e+01,8.088684172000000672e+00,1.200144508793654019e+01,7.413521714154020614e+00
1.350000000000000089e+00,1.172541090780000061e+01,7.703810352629999691e+00,1.197353195784355151e+01,7.524825029789763420e+00
1.500000000000000000e+00,1.285336150770000074e+01,6.520172370510000093e+00,1.194124485252622492e+01,7.654916305755805617e+00
1.649999999999999911e+00,1.202727962650000038e+01,7.768948495350000094e+00,1.183506358939049896e+01,7.850972684040039340e+00
1.800000000000000044e+00,1.125983699240000036e+01,7.576805767179999762e+00,1.180580865940295077e+01,8.213879201620420289e+00
1.949999999999999956e+00,1.147969662010000036e+01,8.096375065980000230e+00,1.174008344839762508e+01,8.568035408370484163e+00
2.100000000000000089e+00,1.064077139970000019e+01,9.457104500270000713e+00,1.166563205884701659e+01,8.735975845469136303e+00
2.250000000000000000e+00,1.281537746010000056e+01,8.603643801760000542e+00,1.172075993428620322e+01,8.773221779593685099e+00
2.399999999999999911e+00,1.155069874630000015e+01,8.367995238909999856e+00,1.163951611987673473e+01,8.897395373372855687e+00
2.549999999999999822e+00,1.225710464630000018e+01,8.732953339590000752e+00,1.150424082636761547e+01,8.928650851095968122e+00
2.700000000000000178e+00,1.036300535099999998e+01,1.039296431580000046e+01,1.143195445340772665e+01,9.002383786903802587e+00
2.850000000000000089e+00,1.080876340340000041e+01,1.003565314939999986e+01,1.133113740623432442e+01,9.058615533873735970e+00
3.000000000000000000e+00,1.121355310659999915e+01,1.008562009919999980e+01,1.105909966841685765e+01,9.117992426465661993e+00
3.149999999999999911e+00,1.201052339319999973e+01,9.874466762690000010e+00,1.088845260296768025e+01,8.991890351911173695e+00
3.299999999999999822e+00,1.052946521810000036e+01,7.699485896869999735e+00,1.069738547419215458e+01,8.910819394167909024e+00
3.450000000000000178e+00,1.174126772009999975e+01,6.921808082120000094e+00,1.047708568551947117e+01,8.757939189211743525e+00
3.600000000000000089e+00,1.031148944699999959e+01,8.304694571120000646e+00,1.032242766757032726e+01,8.615888843036318079e+00
3.750000000000000000e+00,9.821882773129999578e+00,8.663982234089999679e+00,1.005571820444478170e+01,8.681613863691470812e+00
3.899999999999999911e+00,9.617828596809999908e+00,8.969841324909999969e+00,1.006008112884502559e+01,8.759682385384047976e+00
4.049999999999999822e+00,9.806244229100000709e+00,8.214211882080000748e+00,9.983294725684764614e+00,8.717903946650094937e+00
4.200000000000000178e+00,8.706055360100000584e+00,9.010864565849999508e+00,1.004882627256945149e+01,8.694307607508582336e+00
