CV2,Raw_Free_Energy,Smoothed_Free_Energy
3.919383862344864244e+00,1.137006578626745679e+01,1.147409011491316377e+01
4.014033290838777468e+00,1.053243723162454692e+01,1.050600528211004381e+01
4.108682719332691136e+00,9.651395468741782224e+00,9.590608855684552125e+00
4.203332147826603915e+00,8.820592463185690235e+00,8.733525531879124060e+00
4.297981576320517583e+00,8.030602830459306674e+00,7.940380006936191393e+00
4.392631004814431250e+00,7.253342681630018163e+00,7.216796977098189458e+00
4.487280433308344030e+00,6.515938586757184403e+00,6.568401138607551815e+00
4.581929861802257697e+00,5.875211429597053225e+00,6.000817187706736888e+00
4.676579290296171365e+00,5.354779549584989695e+00,5.539279694287312594e+00
4.771228718790084145e+00,5.039538861623666932e+00,5.178683321268680473e+00
4.865878147283997812e+00,4.858688646536061917e+00,4.923890948726548089e+00
4.960527575777911480e+00,4.785074193559372802e+00,4.771022805897132457e+00
5.055177004271824259e+00,4.771696845409272747e+00,4.693244315212210083e+00
5.149826432765737927e+00,4.665789319377098288e+00,4.649169183101209413e+00
5.244475861259651595e+00,4.588225657759492648e+00,4.602327194376877983e+00
5.339125289753564374e+00,4.562482817887036468e+00,4.524625969762009703e+00
5.433774718247478042e+00,4.590509389310380328e+00,4.399014800874923914e+00
5.528424146741391709e+00,4.447810657366018106e+00,4.228801578111470505e+00
5.623073575235304489e+00,4.141380996789416180e+00,4.029586397259208752e+00
5.717723003729218156e+00,3.801570810056972061e+00,3.831163780123381102e+00
5.812372432223130936e+00,3.528873433277704308e+00,3.648384178847601689e+00
5.907021860717044603e+00,3.318938134705239573e+00,3.479101270120845246e+00
6.001671289210957383e+00,3.195582330792758441e+00,3.331901443860603163e+00
6.096320717704871051e+00,3.158589079098331975e+00,3.224417347058152750e+00
6.190970146198784718e+00,3.222801639240214566e+00,3.182262008358201832e+00
6.285619574692697498e+00,3.321166752482062279e+00,3.206819733341315093e+00
6.380269003186611165e+00,3.325595472266087871e+00,3.281645753546369448e+00
6.474918431680524833e+00,3.358388097732893041e+00,3.391540043329618115e+00
6.569567860174437612e+00,3.439947432407906014e+00,3.525990896945244479e+00
6.664217288668351280e+00,3.589211317268921952e+00,3.672296944607897906e+00
6.758866717162264948e+00,3.787349188665920519e+00,3.815009021424409230e+00
6.853516145656177727e+00,3.993247148939938818e+00,3.945408780810547356e+00
6.948165574150091395e+00,4.146149380998875422e+00,4.063137589235816804e+00
7.042815002644005062e+00,4.259340232815168825e+00,4.175449979978810511e+00
7.137464431137917842e+00,4.321458069467533747e+00,4.254590749957973372e+00
7.232113859631831509e+00,4.330472007682114821e+00,4.291049405869718392e+00
7.326763288125745177e+00,4.286221432333334747e+00,4.296514607470503400e+00
7.421412716619657957e+00,4.262242861722437048e+00,4.283576645704166630e+00
7.516062145113571624e+00,4.252758650937015439e+00,4.264645966964486945e+00
7.610711573607485292e+00,4.261906156276955571e+00,4.251361633306191656e+00
7.705361002101398071e+00,4.172592649978660084e+00,4.249641281622178468e+00
7.800010430595311739e+00,4.191764307165886549e+00,4.264932252660089240e+00
7.894659859089225407e+00,4.312950228375913575e+00,4.300030477518405725e+00
7.989309287583138186e+00,4.389881113333374607e+00,4.361564950856200440e+00
8.083958716077050966e+00,4.451862695069014109e+00,4.455758862999585901e+00
8.178608144570965521e+00,4.526422134389632035e+00,4.565707344563691095e+00
8.273257573064878301e+00,4.618772584919174307e+00,4.672285720927214392e+00
8.367907001558791080e+00,4.729918436306570939e+00,4.771851991238900581e+00
8.462556430052705636e+00,4.865048428746933773e+00,4.844811299296406304e+00
8.557205858546618416e+00,5.021502859341484992e+00,4.896398359478506990e+00
8.651855287040531195e+00,5.100297502570963815e+00,4.934430783395706399e+00
8.746504715534445751e+00,4.972185642901319369e+00,4.956612464693332498e+00
8.841154144028358530e+00,4.869646509681844648e+00,4.955632791153175454e+00
8.935803572522271310e+00,4.866947610346584518e+00,4.928400059405680267e+00
9.030453001016185866e+00,4.861933847609598125e+00,4.885800485934234771e+00
9.125102429510098645e+00,4.868426945191061783e+00,4.855450107955060268e+00
9.219751858004011424e+00,4.844714876347494759e+00,4.840237268786991010e+00
9.314401286497925980e+00,4.822280820322427886e+00,4.858445810169603973e+00
9.409050714991838760e+00,4.775221904613739632e+00,4.906028107453561660e+00
9.503700143485751539e+00,4.781726743892662945e+00,4.944319735788153203e+00
9.598349571979664319e+00,4.880264730885917501e+00,4.943592034423653914e+00
9.692999000473578874e+00,4.980554467999688484e+00,4.883932972336335609e+00
9.787648428967491654e+00,4.865333569854094264e+00,4.743156160324660142e+00
9.882297857461404433e+00,4.734961061086107037e+00,4.510509183791396204e+00
9.976947285955318989e+00,4.408648537797512645e+00,4.180752493472085440e+00
1.007159671444923177e+01,3.902590681612135182e+00,3.760031677955639751e+00
1.016624614294314455e+01,3.281145924841671224e+00,3.260124246685908389e+00
1.026089557143705910e+01,2.627091529903405664e+00,2.706091850960202105e+00
1.035554499993097188e+01,2.010977971522257768e+00,2.138738207109561529e+00
1.045019442842488466e+01,1.475768875022547055e+00,1.600370852999225546e+00
1.054484385691879922e+01,1.030135458545644811e+00,1.112651455032259706e+00
1.063949328541271200e+01,6.693187398058392246e-01,7.091770796064594817e-01
1.073414271390662478e+01,3.895143655166315444e-01,4.023216885391770470e-01
1.082879214240053933e+01,1.722488477330628986e-01,1.928614424122322979e-01
1.092344157089445211e+01,4.097727721185284722e-02,7.509319383335069653e-02
1.101809099938836489e+01,0.000000000000000000e+00,4.279818537962362668e-02
1.111274042788227945e+01,4.412386342679168461e-02,8.111115142404223821e-02
1.120738985637619223e+01,1.303766693689803191e-01,1.753883920054672418e-01
1.130203928487010501e+01,2.901423893471455906e-01,3.116512390748453765e-01
1.139668871336401956e+01,4.883776930217948453e-01,4.758444149191763950e-01
1.149133814185793234e+01,7.024876582425049198e-01,6.561282565021466784e-01
1.158598757035184512e+01,9.006068605182278031e-01,8.293933418591810103e-01
1.168063699884575968e+01,1.021013580342275517e+00,9.782512014160171798e-01
1.177528642733967246e+01,1.119218638283357103e+00,1.092683938689776646e+00
1.186993585583358524e+01,1.199912502946269388e+00,1.168050478775531920e+00
1.196458528432749802e+01,1.252675964669390574e+00,1.200095624685765028e+00
1.205923471282141257e+01,1.264636669454945794e+00,1.195428890355779039e+00
1.215388414131532535e+01,1.191473476971377066e+00,1.173029206810655367e+00
1.224853356980923813e+01,1.126158972868736896e+00,1.147085998602848766e+00
1.234318299830315269e+01,1.081853826687609432e+00,1.130694583145721133e+00
1.243783242679706547e+01,1.054315132333143001e+00,1.128134908480071807e+00
1.253248185529097825e+01,1.058404811015242419e+00,1.145386461079452856e+00
1.262713128378489102e+01,1.121737144291508725e+00,1.185250187464000904e+00
1.272178071227880558e+01,1.252367472967189421e+00,1.246472789392865321e+00
1.281643014077271836e+01,1.345453959792672238e+00,1.322753608705979689e+00
1.291107956926663114e+01,1.438897891565409148e+00,1.398311510941779634e+00
1.300572899776054570e+01,1.516771662683426447e+00,1.464112664332789082e+00
1.310037842625445847e+01,1.567959184861564381e+00,1.513458500739892187e+00
1.319502785474837125e+01,1.585761133752545016e+00,1.541811579327792447e+00
1.328967728324228581e+01,1.581266186251246708e+00,1.552252433729565784e+00
1.338432671173619859e+01,1.564116429268187947e+00,1.556584902679275739e+00
1.347897614023011137e+01,1.550505501322859470e+00,1.573700465101198098e+00
1.357362556872402592e+01,1.555250243149201239e+00,1.608351094563932770e+00
1.366827499721793870e+01,1.590944753748268381e+00,1.664302836954516529e+00
1.376292442571185148e+01,1.674677626323637591e+00,1.743554864198033405e+00
1.385757385420576604e+01,1.817487174997587829e+00,1.844015913197051049e+00
1.395222328269967882e+01,1.991690891073621961e+00,1.964903560181883169e+00
1.404687271119359160e+01,2.166664198919442175e+00,2.103876019981992584e+00
1.414152213968750615e+01,2.301190860901973778e+00,2.253184596114949478e+00
1.423617156818141893e+01,2.415248315495208242e+00,2.404752112327413816e+00
1.433082099667533171e+01,2.538678339590141775e+00,2.551252362714825139e+00
1.442547042516924627e+01,2.670780448972743581e+00,2.688383873220509201e+00
1.452011985366315905e+01,2.834112722579885890e+00,2.816943080232002572e+00
1.461476928215707183e+01,2.986983904639355814e+00,2.943488230933988703e+00
1.470941871065098638e+01,3.113758991542929344e+00,3.077351456140910990e+00
1.480406813914489916e+01,3.246588003634072184e+00,3.228216672614452332e+00
1.489871756763881194e+01,3.396313797675976076e+00,3.404906785182809870e+00
1.499336699613272472e+01,3.580070450606568588e+00,3.616551024275190152e+00
1.508801642462663928e+01,3.807132821319830995e+00,3.869079871640496382e+00
1.518266585312055206e+01,4.085665609941489862e+00,4.161490147888939006e+00
1.527731528161446484e+01,4.426402412122222074e+00,4.492358765217342231e+00
1.537196471010837939e+01,4.826986996423619836e+00,4.855763943348326173e+00
1.546661413860229217e+01,5.281073901159971662e+00,5.243297275294862558e+00
1.556126356709620495e+01,5.736414296524730005e+00,5.647870577413923066e+00
1.565591299559011951e+01,6.149039391761091267e+00,6.063441163438596071e+00
1.575056242408403229e+01,6.523768349507471420e+00,6.490737907072382740e+00
1.584521185257794507e+01,6.897809689480211226e+00,6.947439756606349270e+00
1.593986128107185962e+01,7.298020176189379704e+00,7.408698589592182415e+00
1.603451070956577240e+01,7.731174928120824852e+00,7.854431536829421745e+00
1.612916013805968518e+01,8.187517141287120381e+00,8.269399363757745647e+00
1.622380956655360151e+01,8.666358194030873818e+00,8.650844601965262726e+00
1.631845899504751429e+01,9.157249617570197842e+00,8.996311391098560151e+00
1.641310842354142707e+01,9.581964747356312984e+00,9.299067786140287950e+00
1.650775785203533985e+01,9.656769334775464841e+00,9.556680178116948809e+00
1.660240728052925263e+01,9.724853485922110963e+00,9.770015814583787872e+00
1.669705670902316541e+01,9.809773230195190763e+00,9.938607504846443064e+00
1.679170613751708174e+01,9.947085252121185661e+00,1.006611594457549685e+01
1.688635556601099452e+01,1.008919369112108377e+01,1.015703735430503762e+01
1.698100499450490730e+01,1.022539139470144143e+01,1.022360879322142146e+01
1.707565442299882008e+01,1.036644736448233139e+01,1.029211678294606536e+01
1.717030385149273286e+01,1.045933703976103857e+01,1.037958081470688221e+01
1.726495327998664564e+01,1.048366513178890891e+01,1.045669778137525618e+01
1.735960270848055842e+01,1.048926602054626400e+01,1.051848999902222381e+01
1.745425213697447475e+01,1.048869766032203721e+01,1.056253013959818432e+01
1.754890156546838753e+01,1.053233583772340154e+01,1.059441139754504846e+01
1.764355099396230031e+01,1.062688060977391302e+01,1.061387191268573282e+01
1.773820042245621309e+01,1.067265375416034345e+01,1.062585083664327179e+01
1.783284985095012587e+01,1.066925113543704740e+01,1.063657436035659920e+01
1.792749927944403865e+01,1.066032537368659128e+01,1.064691858390591861e+01
