Time_ns,CV1_Raw,CV2_Raw,CV1_Smooth,CV2_Smooth
0.000000000000000000e+00,6.610400628409999868e+00,1.313075823750000026e+01,6.918042217110399683e+00,1.239517351335779693e+01
1.499999999999999944e-01,7.568011464089999585e+00,1.183632475519999971e+01,6.928129244321004521e+00,1.195601032930155050e+01
2.999999999999999889e-01,6.763031232450000374e+00,1.048749400730000048e+01,6.927063268336246082e+00,1.160512966643407751e+01
4.500000000000000111e-01,6.723004755579999880e+00,1.128494037619999979e+01,6.915964676821850787e+00,1.133372760778165755e+01
5.999999999999999778e-01,6.990742108540000110e+00,1.116702631269999912e+01,6.895953857443544166e+00,1.113300023637057024e+01
7.500000000000000000e-01,6.365072555260000264e+00,1.123288937989999958e+01,6.868151197867051749e+00,1.099414363522709692e+01
9.000000000000000222e-01,6.579927083740000349e+00,1.128796051509999998e+01,6.833677085758097292e+00,1.090835388737752076e+01
1.050000000000000044e+00,7.330813613510000160e+00,1.094570319099999978e+01,6.793651908782408988e+00,1.086682707584812135e+01
1.199999999999999956e+00,7.457507445040000071e+00,1.026934103600000014e+01,6.749196054605710593e+00,1.086075928366517829e+01
1.350000000000000089e+00,7.144062402440000348e+00,1.106547713199999983e+01,6.701429910893727637e+00,1.088134659385497471e+01
1.500000000000000000e+00,6.269346693090000144e+00,1.099338015650000067e+01,6.651473865312077294e+00,1.091978508944361259e+01
1.649999999999999911e+00,6.086378197140000168e+00,1.091560371309999944e+01,6.575468412191916023e+00,1.103992402697961062e+01
1.800000000000000044e+00,5.747016062650000201e+00,1.123226951330000034e+01,6.546708568709916243e+00,1.111380983110998422e+01
1.949999999999999956e+00,6.850828817070000021e+00,1.086142514780000035e+01,6.522316335318958380e+00,1.089587896194174554e+01
2.100000000000000089e+00,6.437154746710000097e+00,1.246110006450000007e+01,6.388482726677898071e+00,1.089941963318905493e+01
2.250000000000000000e+00,6.934397969169999953e+00,1.100952776209999939e+01,6.328830380987604975e+00,1.082635170150757631e+01
2.399999999999999911e+00,6.052770514409999691e+00,1.033226604180000052e+01,6.380000919148278271e+00,1.072735433720327869e+01
2.549999999999999822e+00,5.740037725239999666e+00,1.064092039239999998e+01,6.388933863497315180e+00,1.074062109282300703e+01
2.700000000000000178e+00,7.663226140419999943e+00,9.691316624960000681e+00,6.380349231479134353e+00,1.079918934763056626e+01
2.850000000000000089e+00,5.949122107009999993e+00,1.104041600549999913e+01,6.440601735183288490e+00,1.064458830696010416e+01
3.000000000000000000e+00,6.006335941109999688e+00,1.091254485720000034e+01,6.432651523220694223e+00,1.055542249421671208e+01
3.149999999999999911e+00,6.228172930640000438e+00,9.890441528969999396e+00,6.485386834322160787e+00,1.044834076635435771e+01
3.299999999999999822e+00,6.689909126029999875e+00,9.339956057140000212e+00,6.441966948906792112e+00,1.048587967006375266e+01
3.450000000000000178e+00,5.996681155790000162e+00,1.210767187199999917e+01,6.468795039200230690e+00,1.045768307121512741e+01
3.600000000000000089e+00,7.698895068849999745e+00,9.933896411239999225e+00,6.486717011101745811e+00,1.038800706011645580e+01
3.750000000000000000e+00,7.576617428949999677e+00,1.084891372330000081e+01,6.500431752466433899e+00,1.058646494367292767e+01
3.899999999999999911e+00,5.411927462799999589e+00,1.166201216460000012e+01,6.522955075289595506e+00,1.073507925996336532e+01
4.049999999999999822e+00,5.684315561680000073e+00,1.050018124960000065e+01,6.518171586346085178e+00,1.078188571010898578e+01
4.200000000000000178e+00,6.731223485630000170e+00,9.261414766419999722e+00,6.521154514294518201e+00,1.088099399120939204e+01
4.349999999999999645e+00,6.364845268779999898e+00,1.123483899690000065e+01,6.738906266881771856e+00,1.090541115770887259e+01
4.500000000000000000e+00,7.656281890779999877e+00,1.134098146420000042e+01,6.802835211910839952e+00,1.105023477322153624e+01
4.650000000000000355e+00,6.306707370399999846e+00,1.207474395879999918e+01,6.803240543345258295e+00,1.122336328039687459e+01
4.799999999999999822e+00,7.511366248859999928e+00,1.023478956459999978e+01,6.841858648926297803e+00,1.130623106086489216e+01
4.950000000000000178e+00,6.030853557560000411e+00,1.165677597200000015e+01,7.000507911911383552e+00,1.137827440877876128e+01
5.099999999999999645e+00,7.161588886939999732e+00,1.257795086610000013e+01,7.110803441232421029e+00,1.163092522736699408e+01
5.250000000000000000e+00,7.112907178380000417e+00,1.137851561039999915e+01,7.323579259434973565e+00,1.179035483510531357e+01
5.400000000000000355e+00,7.978219170530000071e+00,1.125159399500000035e+01,7.611715262045590791e+00,1.200670130994561902e+01
5.549999999999999822e+00,8.039664300009999209e+00,1.232061382540000061e+01,7.693043113844725944e+00,1.231955174948474863e+01
5.700000000000000178e+00,7.772090945429999564e+00,1.234836111699999961e+01,7.634929683527507116e+00,1.252367144022446510e+01
5.849999999999999645e+00,6.935167940600000414e+00,1.272371042650000028e+01,7.691787769743927861e+00,1.255720703629579127e+01
6.000000000000000000e+00,7.530803632639999634e+00,1.278922327779999968e+01,7.630888015599577301e+00,1.269409303404515477e+01
6.150000000000000355e+00,8.590781465019999175e+00,1.288480051270000004e+01,7.766398909642364679e+00,1.284280336222883712e+01
6.299999999999999822e+00,8.631373628040000412e+00,1.352289662169999929e+01,7.794962768780152373e+00,1.306277724420444919e+01
6.450000000000000178e+00,7.616134214899999755e+00,1.305295527810000067e+01,7.792813561166632930e+00,1.311487951954324593e+01
6.599999999999999645e+00,7.354925113520000224e+00,1.367049086619999976e+01,7.640516235446901838e+00,1.314047697536080328e+01
6.750000000000000000e+00,7.596302870189999723e+00,1.319804722669999997e+01,7.477967888026544330e+00,1.323956211621023193e+01
6.900000000000000355e+00,6.577468803910000439e+00,1.320946271679999917e+01,7.364280888219920662e+00,1.325292582956619647e+01
7.049999999999999822e+00,6.667534693730000406e+00,1.277902682919999933e+01,7.403415996442801017e+00,1.325617614898708396e+01
7.200000000000000178e+00,8.138692363000000540e+00,1.300205239039999938e+01,7.360242703501014283e+00,1.333872429066364163e+01
7.349999999999999645e+00,7.235857390699999669e+00,1.348462119510000079e+01,7.235384871173398125e+00,1.333155643560456838e+01
7.500000000000000000e+00,8.274153697650000083e+00,1.354009170810000029e+01,7.080903458096374337e+00,1.338411162722316483e+01
7.650000000000000355e+00,6.669021959140000178e+00,1.333000611729999996e+01,6.976216905064022811e+00,1.336907444855980920e+01
7.799999999999999822e+00,6.093052146739999841e+00,1.288947765390000022e+01,7.218055394818035708e+00,1.331991034647082550e+01
7.950000000000000178e+00,7.106106350670000182e+00,1.270515287919999992e+01,7.308416696595387840e+00,1.332840960917311612e+01
8.099999999999999645e+00,7.307212843920000367e+00,1.386937613709999972e+01,7.383566710860187676e+00,1.323424951353683277e+01
8.250000000000000000e+00,8.360120460819999266e+00,1.389514889269999998e+01,7.509406447608929724e+00,1.328657582021283190e+01
