,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
Time,1,2,3,,1,2,3,,1,2,3
0.1,0,0,0,,0,0,0,,0,0,0
0.2,1.525,3.092,3.79,,1.564,1.068,2.489,,1.93,2.428,3.078
0.3,2.132,2.538,3.895,,1.557,1.286,2.612,,1.909,2.01,3.707
0.4,2.558,1.937,3.588,,1.667,1.132,3.082,,2.094,1.741,3.652
0.5,2.264,2.309,3.542,,1.818,2.393,2.74,,2.01,1.995,3.796
0.6,1.951,2.808,3.522,,1.069,3.901,2.623,,1.978,1.232,3.626
0.7,2.101,2.551,3.79,,1.073,3.254,2.607,,1.802,1.891,3.799
0.8,3.261,2.483,3.951,,2.036,3.282,3.331,,2.419,2.324,3.614
0.9,4.418,2.255,3.599,,2.25,2.868,3.284,,2.09,2.72,3.533
1,4.346,2.386,4.002,,2.175,3.117,3.03,,2.112,2.52,3.821
1.1,4.404,2.403,4.556,,2.536,3.435,2.928,,2.156,2.552,3.58
1.2,4.103,2.712,3.891,,2.622,3.275,2.843,,2.447,2.705,3.382
1.3,4.143,2.58,4.041,,2.5,3.865,3.345,,2.26,2.493,3.644
1.4,4.806,2.806,4.239,,2.601,4.276,3.516,,2.014,3.372,4.066
1.5,4.723,2.703,4.209,,2.748,4.265,3.411,,2.512,3.275,3.82
1.6,4.738,2.462,4.076,,2.344,4.231,3.587,,2.693,3.837,3.519
1.7,4.994,2.325,4.549,,2.133,4.539,3.208,,2.875,3.69,3.675
1.8,5.456,2.771,4.484,,2.537,4.274,3.583,,2.76,3.443,3.873
1.9,5.027,2.718,4.811,,2.761,5.135,3.454,,3.052,3.326,4.396
2,5.04,3.018,4.972,,2.768,4.877,3.412,,2.778,2.996,3.984
2.1,4.547,3.055,4.9,,2.479,5.002,3.566,,2.923,3.474,4.518
2.2,4.496,3.207,4.742,,2.612,4.562,3.732,,2.844,3.166,4.172
2.3,4.769,2.79,4.976,,2.251,4.045,3.397,,2.214,3.191,4.566
2.4,4.586,2.519,4.622,,2.74,4.022,3.047,,2.508,3.301,4.293
2.5,4.76,2.44,5.055,,3.082,4.182,3.577,,3.166,3.38,4.535
2.6,4.955,2.196,4.564,,2.656,4.014,3.616,,3.153,3.417,4.126
2.7,4.644,2.262,4.879,,2.975,3.604,3.664,,3.054,3.499,4.144
2.8,4.551,2.353,4.624,,2.94,3.627,3.285,,3.01,3,3.918
2.9,4.776,2.666,4.245,,2.548,3.596,3.816,,2.784,3.298,4.061
3,4.641,2.57,4.366,,2.733,3.518,4.362,,2.617,3.839,4.645
3.1,4.925,2.282,4.536,,2.61,3.877,3.874,,2.599,3.452,4.422
3.2,4.864,2.613,4.442,,2.94,3.401,5.02,,3.206,3.502,4.367
3.3,4.752,2.449,4.779,,2.588,3.543,5.202,,3.53,3.444,4.447
3.4,4.391,2.45,4.085,,2.632,3.761,5.36,,3.346,3.357,4.289
3.5,4.546,2.356,4.435,,2.467,3.953,5.302,,3.723,3.409,3.985
3.6,5.299,2.542,4.47,,2.57,3.673,5.718,,4.045,3.134,4.194
3.7,5.06,2.564,4.3,,2.757,3.555,5.656,,3.687,3.425,3.848
3.8,4.65,2.511,4.304,,2.856,3.941,5.88,,3.379,3.227,3.875
3.9,4.559,2.462,4.244,,2.916,3.757,5.627,,3.785,3.162,3.875
4,4.867,2.812,4.129,,2.837,3.549,5.837,,3.578,3.025,3.974
4.1,4.555,2.906,4.31,,2.811,3.368,5.73,,3.52,3.377,4.182
4.2,4.763,2.506,4.273,,2.605,3.58,5.282,,3.529,3.161,3.912
4.3,5.04,2.292,4.112,,2.837,3.546,5.588,,3.903,3.373,3.797
4.4,4.963,2.68,4.232,,2.771,3.553,6.268,,3.962,3.447,3.776
4.5,4.234,2.261,4.307,,3.089,3.475,5.897,,3.85,3.024,3.717
4.6,4.174,2.227,4.185,,2.948,3.885,5.601,,3.562,3.192,3.089
4.7,4.189,2.454,4.246,,3.077,3.412,5.668,,3.729,2.826,3.333
4.8,4.348,2.572,4.504,,2.597,3.649,6.017,,3.372,3.598,3.387
4.9,4.202,2.54,4.376,,2.578,3.472,5.63,,3.561,3.051,4.7
