,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
Time,41,1821,3191,,41,1821,3191,,41,1821,3191
0.1,0,0,0,,0,0,0,,0,0,0
0.2,2.453,0.816,1.884,,2.681,2.326,1.85,,1.292,1.103,0.874
0.3,2.718,1.196,2.075,,2.848,2.585,1.871,,1.735,2.161,0.705
0.4,2.879,1.47,2.666,,2.638,2.6,1.937,,1.712,2.381,0.992
0.5,2.524,1.716,3.207,,2.886,2.543,3.21,,1.602,2.215,0.711
0.6,2.685,1.644,2.942,,2.538,2.498,4.12,,1.369,2.779,0.96
0.7,2.595,1.799,2.87,,2.941,2.229,3.497,,1.825,3.137,0.772
0.8,2.534,1.44,3.754,,3.516,2.262,3.608,,1.698,2.601,1.477
0.9,3.01,1.708,4.125,,2.984,2.065,3.311,,1.389,2.596,0.952
1,2.532,1.542,3.299,,3.656,1.969,2.962,,1.6,2.679,1.011
1.1,2.57,1.568,3.446,,3.519,1.861,3.608,,1.616,2.846,0.539
1.2,2.497,1.525,3.315,,4.148,2.106,2.783,,1.57,2.991,0.645
1.3,2.303,1.419,3.156,,4.749,2.604,3.007,,2.102,2.96,1.912
1.4,2.543,1.574,3.345,,4.319,3.056,2.811,,1.375,2.933,1.721
1.5,2.459,1.989,3.233,,4.709,3.29,2.964,,1.297,2.928,2.038
1.6,2.552,1.786,2.936,,4.457,3.253,2.54,,1.636,3.46,2.442
1.7,2.609,1.955,2.717,,4.796,3.571,2.66,,1.62,2.993,2.706
1.8,2.653,1.86,3.648,,4.751,3.312,3.13,,1.947,3.513,2.541
1.9,2.838,1.653,4.024,,4.812,3.282,2.912,,2.044,2.875,2.872
2,2.56,1.594,4.42,,3.877,3.222,2.72,,2.122,3.36,2.948
2.1,2.616,1.521,4.286,,3.545,3.434,2.601,,2.263,2.893,2.996
2.2,2.579,1.64,4.792,,3.612,3.108,2.711,,2.202,2.824,2.779
2.3,3.041,1.762,4.724,,3.87,3.225,2.642,,1.975,2.981,2.446
2.4,2.725,1.713,4.824,,3.981,3.224,3.139,,1.747,2.702,2.654
2.5,2.576,1.976,5.038,,4.202,3.357,2.855,,1.776,2.655,2.84
2.6,2.374,1.646,4.632,,3.481,3.563,3.189,,2.262,2.703,3.117
2.7,2.583,1.69,4.868,,4.041,3.295,3.169,,1.817,2.971,2.527
2.8,2.714,1.834,4.559,,3.946,3.724,2.754,,2.058,2.771,2.5
2.9,2.903,1.694,4.222,,3.548,3.93,2.588,,1.915,2.742,2.24
3,2.619,1.877,3.634,,3.784,3.588,2.593,,1.761,3.028,2.177
3.1,2.656,1.667,3.891,,3.805,3.615,2.831,,1.956,2.642,2.738
3.2,2.654,1.591,3.05,,4.137,3.842,2.58,,1.695,3.259,2.487
3.3,2.809,1.873,2.774,,3.647,3.694,2.136,,1.793,3.554,2.141
3.4,2.456,2.003,3.251,,3.964,4.691,2.466,,1.819,3.13,1.981
3.5,2.421,1.82,3.123,,4.064,4.443,2.394,,1.891,3.219,2.951
3.6,2.514,2.013,3.468,,3.955,4.017,2.507,,1.757,2.964,2.6
3.7,2.623,2.398,3.757,,4.23,4.194,2.374,,2.063,3.355,2.838
3.8,2.476,2.191,3.539,,3.355,4.424,2.822,,1.91,3.195,2.789
3.9,2.422,1.934,2.478,,3.495,4.594,2.086,,1.8,2.974,2.415
